Price,Address,City,Province,Details,URL,Image File
"$449,000","437 Indian Road,",Windsor,ON,6 bed 2 bath,https://www.zolo.ca/windsor-real-estate/437-indian-road,images/437_Indian_Road__Windsor__ON.jpg
"$699,900","4268 Masotti Crescent,",Windsor,ON,3 bed 3 bath,https://www.zolo.ca/windsor-real-estate/4268-masotti-crescent,images/4268_Masotti_Crescent__Windsor__ON.jpg
"$299,900","3000 Sandwich Street #108,",Windsor,ON,2 bed 2 bath,https://www.zolo.ca/windsor-real-estate/3000-sandwich-street-108,images/3000_Sandwich_Street__108__Windsor__ON.jpg
"$449,888","2322 Byng,",Windsor,ON,5 bed 2 bath,https://www.zolo.ca/windsor-real-estate/2322-byng,images/2322_Byng__Windsor__ON.jpg
"$299,900","913-9099 Riverside Drive East,",Windsor,ON,1 bed 1 bath,https://www.zolo.ca/windsor-real-estate/9099-riverside-drive-east/913,images/913_9099_Riverside_Drive_East__Windsor__ON.jpg
"$599,900","4060 Kennedy,",Windsor,ON,3 bed 2 bath,https://www.zolo.ca/windsor-real-estate/4060-kennedy,images/4060_Kennedy__Windsor__ON.jpg
"$549,900","3182 Harmony,",Windsor,ON,3 bed 2 bath,https://www.zolo.ca/windsor-real-estate/3182-harmony,images/3182_Harmony__Windsor__ON.jpg
"$450,000","1060 Mckay,",Windsor,ON,5 bed 2 bath,https://www.zolo.ca/windsor-real-estate/1060-mckay,images/1060_Mckay__Windsor__ON.jpg
"$299,900","1004 Dot,",Windsor,ON,3 bed 2 bath,https://www.zolo.ca/windsor-real-estate/1004-dot,images/1004_Dot__Windsor__ON.jpg
"$519,000","203-7887 Edgar,",Windsor,ON,2 bed 2 bath,https://www.zolo.ca/windsor-real-estate/7887-edgar/203,images/203_7887_Edgar__Windsor__ON.jpg
"$229,900","1972 George,",Windsor,ON,2 bed 1 bath,https://www.zolo.ca/windsor-real-estate/1972-george,images/1972_George__Windsor__ON.jpg
"$699,000","1132 Clover Avenue,",Windsor,ON,5 bed 3 bath,https://www.zolo.ca/windsor-real-estate/1132-clover-avenue,images/1132_Clover_Avenue__Windsor__ON.jpg
