"Price","Address","City","Province","Details","URL","Image File"
"$89,900","202 Blucher AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/202-blucher-ave-wp_idm73000004-27201407-lst","No Image Available"
"$499,000","2 Fox Lake RD,","Chapleau","ON","3 bed 3 bath","https://www.remax.ca/on/chapleau-real-estate/2-fox-lake-rd-wp_idm73000004-27201340-lst","No Image Available"
"$349,000","14 Ninth AVE,","Englehart","ON","4 bed 2 bath","https://www.remax.ca/on/englehart-real-estate/14-ninth-ave-wp_idm73000004-27201240-lst","No Image Available"
"$269,000","37 Nichol AVE,","Sault Ste. Marie","ON","3 bed 1 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/37-nichol-ave-wp_idm73000004-27201215-lst","No Image Available"
"$359,900","11 East Dunrobin BAY,","Sault Ste. Marie","ON","3 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/11-east-dunrobin-bay-wp_idm73000004-27201216-lst","No Image Available"
"$649,000","64 McDonald Road,","Verner","ON","3 bed 2 bath","https://www.remax.ca/on/verner-real-estate/64-mcdonald-road-wp_idm73000004-27201210-lst","No Image Available"
"$290,000","0 Dominion Drive,","Hanmer","ON","n/a bed 0 bath","https://www.remax.ca/on/hanmer-real-estate/0-dominion-drive-wp_idm73000004-27201209-lst","images/0_Dominion_Drive__Hanmer__ON.jpg"
"$2,999,999","8219 HIGHWAY 64 Highway,","Monetville","ON","n/a bed 0 bath","https://www.remax.ca/luxury/on/monetville-real-estate/8219-highway-64-highway-wp_idm73000004-27201184-lst","images/8219_HIGHWAY_64_Highway__Monetville__ON.jpg"
"$249,900","210 Bruce ST,","Thunder Bay","ON","3 bed 2 bath","https://www.remax.ca/on/thunder-bay-real-estate/210-bruce-st-wp_idm73000004-27201163-lst","images/210_Bruce_ST__Thunder_Bay__ON.jpg"
"$599,900","2049 Sunnyside Beach RD,","Shuniah","ON","3 bed 2 bath","https://www.remax.ca/on/shuniah-real-estate/2049-sunnyside-beach-rd-wp_idm73000004-27201162-lst","images/2049_Sunnyside_Beach_RD__Shuniah__ON.jpg"
"$759,900","711 Bay ST # 601,","Sault Ste. Marie","ON","2 bed 2 bath","https://www.remax.ca/luxury/on/sault-ste-marie-real-estate/711-bay-st-601-wp_idm73000004-27201105-lst","images/711_Bay_ST___601__Sault_Ste__Marie__ON.jpg"
"$449,900","292 McCluskie RD,","Desbarats","ON","2 bed 2 bath","https://www.remax.ca/on/desbarats-real-estate/292-mccluskie-rd-wp_idm73000004-27201107-lst","images/292_McCluskie_RD__Desbarats__ON.jpg"
"$1,250,000","151 Holiday Beach DR,","Batchawana Bay","ON","4 bed 2 bath","https://www.remax.ca/luxury/on/batchawana-bay-real-estate/151-holiday-beach-dr-wp_idm73000004-27201106-lst","images/151_Holiday_Beach_DR__Batchawana_Bay__ON.jpg"
"$349,900","10 The Drive,","Sault Ste. Marie","ON","4 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/10-the-drive-wp_idm73000004-27200913-lst","images/10_The_Drive__Sault_Ste__Marie__ON.jpg"
"$349,900","109 JANICE Street,","North Bay","ON","4 bed 1 bath","https://www.remax.ca/on/north-bay-real-estate/109-janice-street-wp_idm73000004-27200985-lst","No Image Available"
"$399,900","646 Dawson ST,","Thunder Bay","ON","4 bed 1 bath","https://www.remax.ca/on/thunder-bay-real-estate/646-dawson-st-wp_idm73000004-27200926-lst","No Image Available"
"$339,000","399 Lake View AVE, North Cobalt,","Temiksaming Shores","ON","5 bed 2 bath","https://www.remax.ca/on/temiksaming-shores-real-estate/399-lake-view-ave-north-cobalt-wp_idm73000004-26949387-lst","No Image Available"
"$250,000","Lot 3002 Main,","Blezard Valley","ON","n/a bed 0 bath","https://www.remax.ca/on/blezard-valley-real-estate/lot-3002-main-wp_idm73000004-27200912-lst","No Image Available"
"$219,000","7 LORNA DRIVE,","Sault Ste Marie","ON","4 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/7-lorna-drive-wp_idm73000004-27200894-lst","No Image Available"
"$189,000","18 William ST,","Cochenour","ON","2 bed 1 bath","https://www.remax.ca/on/cochenour-real-estate/18-william-st-wp_idm73000004-27200301-lst","No Image Available"
"$189,900","208 Toke ST,","Timmins","ON","3 bed 1 bath","https://www.remax.ca/on/timmins-real-estate/208-toke-st-wp_idm73000004-27200296-lst","No Image Available"
"$219,900","9 Church Street Unit# B,","Copper Cliff","ON","2 bed 1 bath","https://www.remax.ca/on/copper-cliff-real-estate/9-church-street-unit-b-wp_idm73000004-27200270-lst","No Image Available"
"$419,900","4511 Beaver Avenue,","Hanmer","ON","3 bed 1 bath","https://www.remax.ca/on/hanmer-real-estate/4511-beaver-avenue-wp_idm73000004-27200271-lst","No Image Available"
"$99,900","72 Bogey DR,","Timmins","ON","2 bed 1 bath","https://www.remax.ca/on/timmins-real-estate/72-bogey-dr-wp_idm73000004-27200224-lst","No Image Available"
"$429,900","183 Country Club PL,","Sault Ste. Marie","ON","3 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/183-country-club-pl-wp_idm73000004-27199465-lst","No Image Available"
"$220,000","463 Grill ST,","Temiskaming Shores","ON","3 bed 1 bath","https://www.remax.ca/on/temiskaming-shores-real-estate/463-grill-st-wp_idm73000004-27200073-lst","images/463_Grill_ST__Temiskaming_Shores__ON.jpg"
"$659,900","2335 Maclean DR,","Timmins","ON","3 bed 1 bath","https://www.remax.ca/luxury/on/timmins-real-estate/2335-maclean-dr-wp_idm73000004-27200074-lst","images/2335_Maclean_DR__Timmins__ON.jpg"
"$99,900","177 Park Road Unit# 4,","Markstay","ON","2 bed 1 bath","https://www.remax.ca/on/markstay-real-estate/177-park-road-unit-4-wp_idm73000004-27200063-lst","images/177_Park_Road_Unit__4__Markstay__ON.jpg"
"$379,900","348 Ware RD N,","Ware","ON","3 bed 1 bath","https://www.remax.ca/on/ware-real-estate/348-ware-rd-n-wp_idm73000004-27199627-lst","images/348_Ware_RD_N__Ware__ON.jpg"
"$299,900","0 Oliver Creek RD,","Neebing","ON","n/a bed 0 bath","https://www.remax.ca/on/neebing-real-estate/0-oliver-creek-rd-wp_idm73000004-27199472-lst","images/0_Oliver_Creek_RD__Neebing__ON.jpg"
"$79,900","186 Bruce ST,","Sault Ste. Marie","ON","n/a bed 0 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/186-bruce-st-wp_idm73000004-27199572-lst","images/186_Bruce_ST__Sault_Ste__Marie__ON.jpg"
"$160,000","716 Thompson Street,","Fort Frances","ON","2 bed 1 bath","https://www.remax.ca/on/fort-frances-real-estate/716-thompson-street-wp_idm73000004-27199471-lst","images/716_Thompson_Street__Fort_Frances__ON.jpg"
